Transect,Start Latitude,Start Longitude,Mid Latitude,Mid Longitude,End Latitude,End Longitude,Latitude,Longitude,,,,
1A,18.446017,73.427433,18.443685,73.425357,18.442553,73.423978,18.444085,73.42558933,,,,
1B,18.442493,73.423636,,, 18.441612,73.419593,18.442493,73.4216145,,,,
2,18.440535,73.419611,,,18.441869,73.42365,18.441202,73.4216305,,,,
3,18.48002,73.437459,18.478153,73.434707,18.477847,73.435341,18.47867333,73.427476,,,,
4,18.459945,73.442139,18.458759,73.443153,18.457477,73.444475,18.459352,73.435024,,,,
5,18.472681,73.418793,,,18.476085,73.416667,18.474383,73.436083,,,,
6,18.471213,73.417911,18.471985,73.418906,18.472598,73.419794,18.47190633,73.437459,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
