Transect,Location,Lat,Lon
T1A,Start,18.446017,73.427433
T1B,Start,18.442493,73.423636
T2,Start,18.440535,73.419611
T3,Start,18.48002,73.437459
T4,Start,18.459945,73.442139
T5,Start,18.472681,73.418793
T6,Start,18.471213,73.417911
T1A,Mid,18.443685,73.425357
T1B,Mid,,
T2,Mid,,
T3,Mid,18.478153,73.434707
T4,Mid,18.458759,73.443153
T5,Mid,,
T6,Mid,18.471985,73.418906
T1A,End,18.442553,73.423978
T1B,End,18.441612,73.419593
T2,End,18.441869,73.42365
T3,End,18.477847,73.435341
T4,End,18.457477,73.444475
T5,End,18.476085,73.416667
T6,End,18.472598,73.419794
