"Common.Name","Specific.Epithet","Guild"
"Indian Common Crow","Euploea core","Generalist"
"Angled Pierrot","Caleta decidia","Tree Specialist"
"Lime Blue","Chilades lajus","Tree Specialist"
"Common Small Flat","Sarandgesa dasahara","Herb Specialist"
"Common Mormon","Papilio polytes","Tree Specialist"
"Chocolate Pansy","Junonia iphita","Herb Specialist"
"Common Emigrant","Catopsilia pomona","Generalist"
"Pioneer","Belenois aurota","Shrub Specialist"
"Gram Blue","Euchrysops cnejus","Tree Specialist"
"Gram Blue","Euchrysops cnejus","Generalist"
"Common Silverline","Spindasis vulcanus","Generalist"
"Mottled Emigrant","Catopsilia pyranthe","Generalist"
"Yellow Pansy","Junonia hierta","Herb Specialist"
"Lemon Pansy","Junonia lemonias","Herb Specialist"
"Psyche","Leptosia nina","Shrub Specialist"
"Spotted Flat","Celaenorrhinus ambareesa","Herb Specialist"
"Rustic","Cupha erymanthis","Tree Specialist"
"Glassy Tiger","Parantica aglea","Shrub Specialist"
"Common Line Blue","Prosotas nora","Generalist"
"Blue Mormon","Papilio polymnestor","Tree Specialist"
"Plain Tiger","Danaus chrysippus","Shrub Specialist"
"Water Snow Flat","Tagiades litigiosa","Herb Specialist"
"Suffused Double Banded Judy","Abisara bifasciata","Shrub Specialist"
"Common Sailor","Neptis hylas","Tree Specialist"
"Blue Oak Leaf","Kallima horsfieldi","Herb Specialist"
"Common Five Ring","Ypthima ceylonica","Grass Specialist"
"Pea Blue","Lampides boeticus","Tree Specialist"
"Common Grass Yellow","Eurema hecabe","Tree Specialist"
"Common Evening Brown","Melanitis leda","Grass Specialist"
"Common Four Ring","Ypthima huebneri","Grass Specialist"
"Striped Tiger","Danaus genutia","Shrub Specialist"
"One Spot Grass Yellow","Eurema andersoni","Tree Specialist"
"Common Bushbrown","Mycalesis perseus","Grass Specialist"
"Painted Lady","Vanessa cardui","Generalist"
"Chestnut Bob","Iambrix salsala","Grass Specialist"
"Dark Cerulean","Jamides bochus","Tree Specialist"
"Three Spot Grass Yellow","Eurema blanda","Tree Specialist"
"Tailed Jay","Graphium agamemnon","Tree Specialist"
"Common Treebrown","Lethe rohria","Grass Specialist"
"Monkey Puzzle","Rathinda amor","Tree Specialist"
"Small Branded Swift","Pelopidas mathias","Generalist"
"Blue Tiger","Tirumala limniace","Shrub Specialist"
"Grass Demon","Udaspes folus","Herb Specialist"
"Common Jessabelle","Delias eucharis","Tree Specialist"
"Common Wanderer","Pareronia ceylanica","Shrub Specialist"
"Common Cerulean","Jamides celeno","Generalist"
"Tawny Coaster","Acraea terpsicore","Generalist"
"Tiny Grass Blue","Zizula hylax","Shrub Specialist"
"Common Leopard","Phalanta phalantha","Tree Specialist"
"Blue Bottle","Graphium teredon","Tree Specialist"
"Peacock Pansy","Junonia almana","Shrub Specialist"
"Blue Pansy","Junonia orithya","Herb Specialist"
"Common Lascar","Pantoporia hordonia","Tree Specialist"
"Spotless Grass Yellow","Eurema laeta","Herb Specialist"
"Small Grass Jewel","Freyeria putli","Generalist"
"Forget-me-not","Catochrysops strabo","Generalist"
"Danaid Eggfly","Hypolimnas misippus","Generalist"
"Lesser Grass Blue","Zizina otis","Herb Specialist"
"Dark Evening Brown","Melanitis phedima","Grass Specialist"
"Grey Pansy","Junonia atlites","Shrub Specialist"
"Pale Grass Blue","Pseudozizeeria maha","Herb Specialist"
"Dark Grass Blue","Zizeeria karsandra","Herb Specialist"
"Bamboo Treebrown","Lethe europa","Grass Specialist"
"Metallic Cerulean","Jamides alectoalocina","Herb Specialist"
"White Orange Tip","Ixias marianne","Shrub Specialist"
"Commander","Moduza procris","Generalist"
"Common Baron","Euthalia aconthea","Generalist"
"Common Baron","Euthalia aconthea","Grass Specialist"
"Chestnut Angle","Odontoptilum angulata","Tree Specialist"
"Plum Judy","Abisara echerius","Shrub Specialist"
"Crimson Rose","Pachliopta hector","Liana Specialist"
"Red Helen","Papilio helenus","Tree Specialist"
"Great Eggfly","Hypolimnas bolina","Herb Specialist"
"Common Pierrot","Castalius rosimon","Tree Specialist"
"Red Pierrot","Talicada nyseus","Tree Specialist"
"Common Castor","Ariadne merione","Herb Specialist"
"Common Map","Cyrestis thyodamas","Tree Specialist"
"Common Rose","Pachliopta aritolochiae","Liana Specialist"
"Nawab","Charaxes bharata","Generalist"
"Great Orange Tip","Hebomoia glaucippe","Tree Specialist"
